filename unique_words total_words
Anon_Clara_1864.txt 24797 197620
Barclay_Ladies_1917.txt 15657 122382
Barclay_Postern_1911.txt 7921 40015
Barclay_Rosary_1909.txt 15223 105920
Bennet_Babylon_1902.txt 11529 68397
Bennet_Helen_1910.txt 10251 52644
Bennet_Imperial_1930.txt 29278 255975
Blackmore_Erema_1877.txt 18885 167016
Blackmore_Lorna_1869.txt 25408 273259
Blackmore_Springhaven_1887.txt 23115 202113
Braddon_Audley_1862.txt 18055 148763
Braddon_Phantom_1883.txt 22474 180676
Braddon_Quest_1871.txt 17608 174199
Burnett_Garden_1911.txt 8939 81043
Burnett_Lord_1886.txt 8131 58698
Burnett_Princess_1905.txt 9037 66877
Cbronte_Jane_1847.txt 25762 189103
Cbronte_Shirley_1849.txt 29500 218572
Cbronte_Villette_1853.txt 29084 196557
Chesterton_Innocence_1911.txt 13458 79361
Chesterton_Napoleon_1904.txt 10847 54920
Chesterton_Thursday_1908.txt 10385 58299
Conrad_Almayer_1895.txt 10344 63257
Conrad_Nostromo_1904.txt 21884 172276
Conrad_Rover_1923.txt 11978 88101
Corelli_Innocent_1914.txt 19627 121950
Corelli_Romance_1886.txt 15923 100526
Corelli_Satan_1895.txt 22058 169571
Dickens_Bleak_1853.txt 30797 357936
Dickens_Expectations_1861.txt 20536 186804
Dickens_Oliver_1839.txt 20367 159489
Doyle_Hound_1902.txt 9393 59639
Doyle_Lost_1912.txt 12621 76281
Doyle_Micah_1889.txt 23564 177917
Eliot_Adam_1859.txt 21482 216651
Eliot_Daniel_1876.txt 28606 311335
Eliot_Felix_1866.txt 22340 182816
Ford_Girl_1907.txt 7092 35708
Ford_Post_1926.txt 12728 72055
Ford_Soldier_1915.txt 10626 76750
Forster_Angels_1905.txt 9464 50477
Forster_Howards_1910.txt 17065 111057
Forster_View_1908.txt 12114 67930
Galsworthy_Man_1906.txt 16713 110455
Galsworthy_River_1933.txt 13114 89871
Galsworthy_Saints_1919.txt 14582 95156
Gaskell_Lovers_1863.txt 21087 191037
Gaskell_Ruth_1855.txt 18148 161797
Gaskell_Wives_1865.txt 23203 270014
Gissing_Unclassed_1884.txt 15769 124877
Gissing_Warburton_1903.txt 12864 85093
Gissing_Women_1893.txt 16912 139234
Haggard_Mines_1885.txt 12373 82948
Haggard_She_1887.txt 15269 113770
Haggard_Sheallan_1921.txt 13669 121506
Hardy_Jude_1895.txt 19237 147273
Hardy_Madding_1874.txt 20378 138440
Hardy_Tess_1891.txt 20955 151197
James_Ambassadors_1903.txt 17390 167555
James_Roderick_1875.txt 17715 132759
James_Tragic_1890.txt 21589 210553
Kipling_Captains_1896.txt 11709 53467
Kipling_Kim_1901.txt 17998 107663
Kipling_Light_1891.txt 12493 72479
Lawrence_Peacock_1911.txt 18254 124497
Lawrence_Serpent_1926.txt 21246 172356
Lawrence_Women_1920.txt 22055 183180
Lee_Albany_1884.txt 11628 62913
Lee_Brown_1884.txt 9369 48242
Lee_Penelope_1903.txt 5325 21840
Lytton_Kenelm_1873.txt 24678 193074
Lytton_Novel_1853.txt 42679 456592
Lytton_What_1858.txt 38658 338512
Meredith_Feverel_1859.txt 24576 168781
Meredith_Marriage_1895.txt 24931 156151
Meredith_Richmond_1871.txt 28892 214985
Morris_Roots_1890.txt 14085 154305
Morris_Water_1897.txt 12079 147737
Morris_Wood_1894.txt 6890 49983
Schreiner_Farm_1883.txt 13501 100645
Schreiner_Trooper_1897.txt 4832 24612
Schreiner_Undine_1929.txt 11744 90672
Stevenson_Arrow_1888.txt 13168 80291
Stevenson_Catriona_1893.txt 13816 102106
Stevenson_Treasure_1883.txt 10831 68448
Thackeray_Esmond_1852.txt 21375 187049
Thackeray_Pendennis_1850.txt 34188 359496
Thackeray_Virginians_1859.txt 34367 356604
Trollope_Angel_1881.txt 18023 217694
Trollope_Phineas_1869.txt 19592 266634
Trollope_Warden_1855.txt 11464 72102
Ward_Ashe_1905.txt 21292 141832
Ward_Harvest_1920.txt 13264 75043
Ward_Milly_1881.txt 6688 47588
Wcollins_Basil_1852.txt 14586 118088
Wcollins_Legacy_1889.txt 13383 120704
Wcollins_Woman_1860.txt 19959 247078
Woolf_Lighthouse_1927.txt 11157 70185
Woolf_Night_1919.txt 19055 167075
Woolf_Years_1937.txt 16701 130903
